,Capitale,Pays/Territoire,Population,Année,capitalpays,Latitude,Longitude
119,Abou Dhabi,Émirats arabes unis,585 097[52],,"Abou Dhabi,Émirats arabes unis",24.453884,54.3773438
120,Douchanbé,Tadjikistan,582 496,,"Douchanbé,Tadjikistan",38.5597722,68.7870384
121,Vilnius,Lituanie,556 723,,"Vilnius,Lituanie",54.6871555,25.2796514
122,Libreville,Gabon,556 425,,"Libreville,Gabon",0.4161976,9.4672676
123,Asmara,Érythrée,543 707,,"Asmara,Érythrée",15.3228767,38.9250517
124,Lisbonne,Portugal,564 657,,"Lisbonne,Portugal",38.7222524,-9.1393366
125,San Salvador,El Salvador,521 366,,"San Salvador,El Salvador",13.6929403,-89.2181911
126,Asunción,Paraguay,520 722,,"Asunción,Paraguay",-25.2637399,-57.57592599999999
127,Macao,Macao (Chine),520 400[53],,"Macao,Macao (Chine)",49.26335,-123.1012209
128,Skopje,Macédoine,668 518[54],,"Skopje,Macédoine",41.9960421,21.431647
129,Copenhague,Danemark,562 253,,"Copenhague,Danemark",55.6760968,12.5683372
130,Djibouti,Djibouti,475 332,,"Djibouti,Djibouti",11.825138,42.590275
131,Yamoussoukro,Côte d'Ivoire,454 929,,"Yamoussoukro,Côte d'Ivoire",6.827622799999999,-5.2893433
132,Bissau,Guinée-Bissau,452 640,,"Bissau,Guinée-Bissau",11.8632196,-15.5843227
133,Bratislava,Slovaquie,424 207,,"Bratislava,Slovaquie",48.1485965,17.1077478
134,San Juan,Puerto Rico (États-Unis),421 356,,"San Juan,Puerto Rico (États-Unis)",18.4527267,-66.0446103
135,Tallinn,Estonie,403 547[55],,"Tallinn,Estonie",59.43696079999999,24.7535747
136,Bujumbura,Burundi,384 461[56],,"Bujumbura,Burundi",-3.361378,29.3598782
137,Sarajevo,Bosnie-Herzégovine,383 604,,"Sarajevo,Bosnie-Herzégovine",43.8562586,18.4130763
138,Wellington,Nouvelle-Zélande,381 900[57],,"Wellington,Nouvelle-Zélande",-41.2864603,174.776236
139,Djouba,Sud-Soudan,372 410,,"Djouba,Sud-Soudan",4.859363,31.57125
140,Canberra,Australie,354 644[58],,"Canberra,Australie",-35.2809368,149.1300092
141,San José,Costa Rica,328 195,,"San José,Costa Rica",9.9280694,-84.0907246
142,Port Moresby,Papouasie-Nouvelle-Guinée,299 396[59],,"Port Moresby,Papouasie-Nouvelle-Guinée",-9.443800399999999,147.1802671
143,Vientiane,Laos,287 579,,"Vientiane,Laos",17.9757058,102.6331035
144,Dodoma,Tanzanie,287 200,2002 est.[60],"Dodoma,Tanzanie",-6.162959000000001,35.7516069
145,Maseru,Lesotho,267 652[59],,"Maseru,Lesotho",-29.3150767,27.4869229
146,Nicosie,Chypre,270 000,2004[61],"Nicosie,Chypre",35.1855659,33.38227639999999
147,Ljubljana,Slovénie,280 140,,"Ljubljana,Slovénie",46.0569465,14.5057515
148,Paramaribo,Suriname,254 147,,"Paramaribo,Suriname",5.8520355,-55.2038278
149,Windhoek,Namibie,252 721,,"Windhoek,Namibie",-22.5608807,17.0657549
150,New Delhi,Inde,249 998,2014,"New Delhi,Inde",28.6139391,77.2090212
151,Nassau,Bahamas,248 948,,"Nassau,Bahamas",25.0479835,-77.355413
152,Gaborone,Botswana,225 656[62],,"Gaborone,Botswana",-24.6282079,25.9231471
153,Porto-Novo,Bénin,223 552,[63],"Porto-Novo,Bénin",6.4968574,2.6288523
154,Pristina,Kosovo,198 214,,"Pristina,Kosovo",42.6629138,21.1655028
155,Tifariti,Sahara occidental,3 000 [64],2009,"Tifariti,Sahara occidental",26.1584875,-10.5591474
156,Tiraspol,Transnistrie,159 163,,"Tiraspol,Transnistrie",46.84818500000001,29.59680509999999
157,Port-Louis,Maurice,147 251[65],,"Port-Louis,Maurice",-20.1608912,57.5012222
158,Podgorica,Monténégro,141 854,,"Podgorica,Monténégro",42.4304196,19.2593642
159,Manama,Bahreïn,140 616,,"Manama,Bahreïn",26.2285161,50.5860497
160,Georgetown,Guyana,134 599,,"Georgetown,Guyana",6.8012793,-58.1551255
161,Praia,Cap-Vert,125 464,,"Praia,Cap-Vert",14.93305,-23.5133267
162,Berne (de facto),Suisse,137 919,[66],"Berne (de facto),Suisse",46.9479739,7.4474468
